"675681, BRONTE HEALTH AND REHAB CENTER, 900 S STATE ST, BRONTE TX, 76933"
"675671, GARDEN TERRACE ALZHEIMERS CENTER OF EXCELLENCE, 7887 CAMBRIDGE ST, HOUSTON TX, 77054"
"675789, WOODRIDGE NURSING & REHABILITATION, 8810 LONG POINT DR, HOUSTON TX, 77055"
"675649, STONEBRIDGE SN HEALTH CENTER, 11127 CIRCLE DR, AUSTIN TX, 78736"
"675664, SUNNY SPRINGS NURSING & REHAB, 1200  JACKSON ST N, SULPHUR SPRINGS TX, 75482"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675668, WOOD MEMORIAL NURSING HOME, 320 GREENVILLE HIGHWAY, MINEOLA TX, 75773"
"675744, FRIENDSHIP HAVEN HEALTHCARE AND REHABILITATION CEN, 1500 SUNSET DR, FRIENDSWOOD TX, 77546"
"675709, TIMBERIDGE NURSING AND REHABILITATION CENTER, 315 W GIBSON, JASPER TX, 75951"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675751, SEABURY NURSING & REHABILITATION, 2443 W 16TH ST, ODESSA TX, 79763"
"675746, CORONADO NURSING CENTER, 1751 N 15TH ST, ABILENE TX, 79603"
"675708, KEENELAND NURSING AND REHABILITATION LP, 700 S BOWIE DR, WEATHERFORD TX, 76086"
"675823, NORMANDY TERRACE NURSING & REHABILITATION CENTER, 841 RICE RD, SAN ANTONIO TX, 78220"
"675695, COLLEGE STREET HEALTH CARE CENTER, 4150 COLLEGE ST, BEAUMONT TX, 77707"
"675722, FORT STOCKTON LIVING & REHABILITATION, 501 N SYCAMORE, FORT STOCKTON TX, 79735"
"675678, CARECHOICE OF BOERNE, 200 E RYAN ST, BOERNE TX, 78006"
"675670, TRISUN CARE CENTER-WESTWOOD, 801 CANTWELL LN, CORPUS CHRISTI TX, 78408"
"675751, SEABURY NURSING & REHABILITATION, 2443 W 16TH ST, ODESSA TX, 79763"
"675788, OAK MANOR NURSING AND REHABILITATION LP, 2901 STERLING HART DR, COMMERCE TX, 75428"
"675736, YOAKUM NURSING AND REHABILITATION CENTER, 1300 CARL RAMERT DR, YOAKUM TX, 77995"
"675703, CROSS TIMBERS REHABILITATION AND HEALTHCARE CENTER, 3315 CROSS TIMBERS RD, FLOWER MOUND TX, 75028"
"675649, STONEBRIDGE SN HEALTH CENTER, 11127 CIRCLE DR, AUSTIN TX, 78736"
"675654, BROOKDALE GUADALUPE RIVER PLAZA, 808 GUADALUPE, KERRVILLE TX, 78028"
"675708, KEENELAND NURSING AND REHABILITATION LP, 700 S BOWIE DR, WEATHERFORD TX, 76086"
"675686, WINTERHAVEN HEALTHCARE RESIDENCE, 6534 STUEBNER AIRLINE RD, HOUSTON TX, 77091"
"675666, BRIARCLIFF HEALTH CENTER OF GREENVILLE INC, 4400 WALNUT ST, GREENVILLE TX, 75401"
"675666, BRIARCLIFF HEALTH CENTER OF GREENVILLE INC, 4400 WALNUT ST, GREENVILLE TX, 75401"
"675706, BRENHAM REST HOME, 406 COTTONWOOD ST, BRENHAM TX, 77833"
"675740, KNOPP NURSING & REHAB CENTER INC, 202 BILLIE DR, FREDERICKSBURG TX, 78624"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675723, NAZARETH LIVING CARE CENTER, 1475 RAYNOLDS ST, EL PASO TX, 79903"
"675695, COLLEGE STREET HEALTH CARE CENTER, 4150 COLLEGE ST, BEAUMONT TX, 77707"
"675672, TRISUN CARE CENTER-RIVER RIDGE, 3922 W RIVER DR, CORPUS CHRISTI TX, 78410"
"675697, THE ARMY RESIDENCE COMMUNITY HEALTH CARE CENTER, 7400 CRESTWAY DR, SAN ANTONIO TX, 78239"
"675654, BROOKDALE GUADALUPE RIVER PLAZA, 808 GUADALUPE, KERRVILLE TX, 78028"
"675800, LA VIDA SERENA NURSING AND REHABILITATION, 711 KINGS WAY, DEL RIO TX, 78840"
"675668, WOOD MEMORIAL NURSING HOME, 320 GREENVILLE HIGHWAY, MINEOLA TX, 75773"
"675712, HOMESTEAD NURSING AND REHABILITATION OF ITASCA, 409 S FILES ST, ITASCA TX, 76055"
"675826, SUNSET HOME, 1800 WEST 9TH ST, CLIFTON TX, 76634"
"675654, BROOKDALE GUADALUPE RIVER PLAZA, 808 GUADALUPE, KERRVILLE TX, 78028"
"675672, TRISUN CARE CENTER-RIVER RIDGE, 3922 W RIVER DR, CORPUS CHRISTI TX, 78410"
"675706, BRENHAM REST HOME, 406 COTTONWOOD ST, BRENHAM TX, 77833"
"675733, STONEBRIAR NURSING AND REHABILITATION CENTER, 110 E LIVE OAK ST, AUSTIN TX, 78704"
"675663, FORT BEND HEALTHCARE CENTER, 3010 BAMORE RD, ROSENBERG TX, 77471"
"675699, FRIENDSWOOD HEALTH CARE CENTER, 213 HERITAGE DR, FRIENDSWOOD TX, 77546"
"675666, BRIARCLIFF HEALTH CENTER OF GREENVILLE INC, 4400 WALNUT ST, GREENVILLE TX, 75401"
"675708, KEENELAND NURSING AND REHABILITATION LP, 700 S BOWIE DR, WEATHERFORD TX, 76086"
"675746, CORONADO NURSING CENTER, 1751 N 15TH ST, ABILENE TX, 79603"
"675687, HOLIDAY HILL INC, 245 STATE HWY #153 WEST, COLEMAN TX, 76834"
"675678, CARECHOICE OF BOERNE, 200 E RYAN ST, BOERNE TX, 78006"
"675739, REGENT CARE CENTER OF THE WOODLANDS LIMITED PARTNE, 10450 GOSLING RD, THE WOODLANDS TX, 77381"
"675717, SAN RAFAEL NURSING AND REHABILITATION CENTER, 3050 SUNNYBROOK RD, CORPUS CHRISTI TX, 78415"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675638, TWIN PINES NURSING AND REHABILITATION, 3301 E. MOCKINGBIRD LANE, VICTORIA TX, 77904"
"675690, GOLDEN ESTATES REHABILITATION CENTER, 130 SPENCER LN, SAN ANTONIO TX, 78201"
"675746, CORONADO NURSING CENTER, 1751 N 15TH ST, ABILENE TX, 79603"
"675672, TRISUN CARE CENTER-RIVER RIDGE, 3922 W RIVER DR, CORPUS CHRISTI TX, 78410"
"675708, KEENELAND NURSING AND REHABILITATION LP, 700 S BOWIE DR, WEATHERFORD TX, 76086"
"675715, PECAN VALLEY HEALTHCARE RESIDENCE, 1405 W STOREY ST, SAN SABA TX, 76877"
"675650, GARDEN TERRACE ALZHEIMERS CENTER OF EXCELLENCE, 7500 OAKMONT BLVD, FORT WORTH TX, 76132"
"675670, TRISUN CARE CENTER-WESTWOOD, 801 CANTWELL LN, CORPUS CHRISTI TX, 78408"
"675736, YOAKUM NURSING AND REHABILITATION CENTER, 1300 CARL RAMERT DR, YOAKUM TX, 77995"
"675709, TIMBERIDGE NURSING AND REHABILITATION CENTER, 315 W GIBSON, JASPER TX, 75951"
"675777, PARKWAY PLACE, 1321 PARK BAYOU DR, HOUSTON TX, 77077"
"675708, KEENELAND NURSING AND REHABILITATION LP, 700 S BOWIE DR, WEATHERFORD TX, 76086"
"675695, COLLEGE STREET HEALTH CARE CENTER, 4150 COLLEGE ST, BEAUMONT TX, 77707"
"675723, NAZARETH LIVING CARE CENTER, 1475 RAYNOLDS ST, EL PASO TX, 79903"
"675649, STONEBRIDGE SN HEALTH CENTER, 11127 CIRCLE DR, AUSTIN TX, 78736"
"675641, NESBIT LIVING & RECOVERY CENTER, 1215 ASHBY, SEGUIN TX, 78155"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675691, HUNTSVILLE HEALTH CARE CENTER, 2628 MILAM, HUNTSVILLE TX, 77340"
"675699, FRIENDSWOOD HEALTH CARE CENTER, 213 HERITAGE DR, FRIENDSWOOD TX, 77546"
"675641, NESBIT LIVING & RECOVERY CENTER, 1215 ASHBY, SEGUIN TX, 78155"
"675638, TWIN PINES NURSING AND REHABILITATION, 3301 E. MOCKINGBIRD LANE, VICTORIA TX, 77904"
"675638, TWIN PINES NURSING AND REHABILITATION, 3301 E. MOCKINGBIRD LANE, VICTORIA TX, 77904"
"675755, WINDSOR PLACE, 507 E W M WATSON BLVD, DAINGERFIELD TX, 75638"
"675699, FRIENDSWOOD HEALTH CARE CENTER, 213 HERITAGE DR, FRIENDSWOOD TX, 77546"
"675654, BROOKDALE GUADALUPE RIVER PLAZA, 808 GUADALUPE, KERRVILLE TX, 78028"
"675678, CARECHOICE OF BOERNE, 200 E RYAN ST, BOERNE TX, 78006"
"675672, TRISUN CARE CENTER-RIVER RIDGE, 3922 W RIVER DR, CORPUS CHRISTI TX, 78410"
"675689, VILLAGE HEALTHCARE AND REHABILITATION, 615 N WARE RD, MCALLEN TX, 78501"
"675729, TWIN LAKES REHABILITATION AND CARE CENTER, 451 S EL CAMINO CROSSING, SAN AUGUSTINE TX, 75972"
"675691, HUNTSVILLE HEALTH CARE CENTER, 2628 MILAM, HUNTSVILLE TX, 77340"
"675740, KNOPP NURSING & REHAB CENTER INC, 202 BILLIE DR, FREDERICKSBURG TX, 78624"
"675697, THE ARMY RESIDENCE COMMUNITY HEALTH CARE CENTER, 7400 CRESTWAY DR, SAN ANTONIO TX, 78239"
"675691, HUNTSVILLE HEALTH CARE CENTER, 2628 MILAM, HUNTSVILLE TX, 77340"
"675740, KNOPP NURSING & REHAB CENTER INC, 202 BILLIE DR, FREDERICKSBURG TX, 78624"
"675699, FRIENDSWOOD HEALTH CARE CENTER, 213 HERITAGE DR, FRIENDSWOOD TX, 77546"
"675819, PARK MANOR OF SOUTH BELT, 11902 RESOURCE PKWY, HOUSTON TX, 77089"
"675637, WOOLDRIDGE PLACE NURSING CENTER, 7352 WOOLDRIDGE RD, CORPUS CHRISTI TX, 78414"
"675706, BRENHAM REST HOME, 406 COTTONWOOD ST, BRENHAM TX, 77833"
"675670, TRISUN CARE CENTER-WESTWOOD, 801 CANTWELL LN, CORPUS CHRISTI TX, 78408"
"675677, DEL RIO NURSING AND REHABILITATION CENTER, 301 W MARTIN ST, DEL RIO TX, 78840"
"675638, TWIN PINES NURSING AND REHABILITATION, 3301 E. MOCKINGBIRD LANE, VICTORIA TX, 77904"
"675701, LAWRENCE STREET HEALTH CARE CENTER, 615 LAWRENCE ST, TOMBALL TX, 77375"
"675695, COLLEGE STREET HEALTH CARE CENTER, 4150 COLLEGE ST, BEAUMONT TX, 77707"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675802, KEMP CARE CENTER, 1351 SOUTH ELM STREET, KEMP TX, 75143"
"675709, TIMBERIDGE NURSING AND REHABILITATION CENTER, 315 W GIBSON, JASPER TX, 75951"
"675655, TARRANT COUNTY HOSPITAL DISTRICT, 1500 S MAIN ST, FORT WORTH TX, 76104"
"675671, GARDEN TERRACE ALZHEIMERS CENTER OF EXCELLENCE, 7887 CAMBRIDGE ST, HOUSTON TX, 77054"
"675818, PARK MANOR OF CYFAIR, 11001 CRESCENT MOON DR, HOUSTON TX, 77064"
"675689, VILLAGE HEALTHCARE AND REHABILITATION, 615 N WARE RD, MCALLEN TX, 78501"
"675689, VILLAGE HEALTHCARE AND REHABILITATION, 615 N WARE RD, MCALLEN TX, 78501"
"675739, REGENT CARE CENTER OF THE WOODLANDS LIMITED PARTNE, 10450 GOSLING RD, THE WOODLANDS TX, 77381"
"675717, SAN RAFAEL NURSING AND REHABILITATION CENTER, 3050 SUNNYBROOK RD, CORPUS CHRISTI TX, 78415"
"675697, THE ARMY RESIDENCE COMMUNITY HEALTH CARE CENTER, 7400 CRESTWAY DR, SAN ANTONIO TX, 78239"
"675663, FORT BEND HEALTHCARE CENTER, 3010 BAMORE RD, ROSENBERG TX, 77471"
"675744, FRIENDSHIP HAVEN HEALTHCARE AND REHABILITATION CEN, 1500 SUNSET DR, FRIENDSWOOD TX, 77546"
"675649, STONEBRIDGE SN HEALTH CENTER, 11127 CIRCLE DR, AUSTIN TX, 78736"
"675663, FORT BEND HEALTHCARE CENTER, 3010 BAMORE RD, ROSENBERG TX, 77471"
"675709, TIMBERIDGE NURSING AND REHABILITATION CENTER, 315 W GIBSON, JASPER TX, 75951"
"675663, FORT BEND HEALTHCARE CENTER, 3010 BAMORE RD, ROSENBERG TX, 77471"
"675701, LAWRENCE STREET HEALTH CARE CENTER, 615 LAWRENCE ST, TOMBALL TX, 77375"
"675690, GOLDEN ESTATES REHABILITATION CENTER, 130 SPENCER LN, SAN ANTONIO TX, 78201"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675733, STONEBRIAR NURSING AND REHABILITATION CENTER, 110 E LIVE OAK ST, AUSTIN TX, 78704"
"675648, CONROE HEALTH CARE CENTER, 2019 N FRAZIER, CONROE TX, 77301"
"675646, SNYDER OAKS CARE CENTER, 210 E 37TH ST, SNYDER TX, 79549"
"675809, WESTRIDGE NURSING AND REHABILITATION LP, 1241 WESTRIDGE AVE, LANCASTER TX, 75146"
"675687, HOLIDAY HILL INC, 245 STATE HWY #153 WEST, COLEMAN TX, 76834"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675649, STONEBRIDGE SN HEALTH CENTER, 11127 CIRCLE DR, AUSTIN TX, 78736"
"675733, STONEBRIAR NURSING AND REHABILITATION CENTER, 110 E LIVE OAK ST, AUSTIN TX, 78704"
"675818, PARK MANOR OF CYFAIR, 11001 CRESCENT MOON DR, HOUSTON TX, 77064"
"675708, KEENELAND NURSING AND REHABILITATION LP, 700 S BOWIE DR, WEATHERFORD TX, 76086"
"675667, UNIVERSITY PLACE NURSING CENTER, 7480 BEECHNUT, HOUSTON TX, 77074"
"675701, LAWRENCE STREET HEALTH CARE CENTER, 615 LAWRENCE ST, TOMBALL TX, 77375"
"675699, FRIENDSWOOD HEALTH CARE CENTER, 213 HERITAGE DR, FRIENDSWOOD TX, 77546"
"675689, VILLAGE HEALTHCARE AND REHABILITATION, 615 N WARE RD, MCALLEN TX, 78501"
"675739, REGENT CARE CENTER OF THE WOODLANDS LIMITED PARTNE, 10450 GOSLING RD, THE WOODLANDS TX, 77381"
"675779, MARINE CREEK NURSING AND REHABILITATION LP, 3600 ANGLE AVE, FORT WORTH TX, 76106"
"675723, NAZARETH LIVING CARE CENTER, 1475 RAYNOLDS ST, EL PASO TX, 79903"
"675702, BRENTWOOD PLACE TWO, 3505  S BUCKNER BLVD BLDG 3, DALLAS TX, 75227"
"675800, LA VIDA SERENA NURSING AND REHABILITATION, 711 KINGS WAY, DEL RIO TX, 78840"
"675799, BRENHAM NURSING AND REHABILITATION CENTER, 400 E SAYLES ST, BRENHAM TX, 77833"
"675765, WALNUT PLACE, 5515 GLEN LAKES DR, DALLAS TX, 75231"
"675811, VICTORIA GARDENS OF FRISCO, 10700 ROLATER DR, FRISCO TX, 75035"
"675826, SUNSET HOME, 1800 WEST 9TH ST, CLIFTON TX, 76634"
"675768, MOUNTAIN VILLA NURSING CENTER, 2729 PORTER AVE, EL PASO TX, 79930"
"675765, WALNUT PLACE, 5515 GLEN LAKES DR, DALLAS TX, 75231"
"675793, BROOKHOLLOW HEIGHTS TRANSITIONAL CARE CENTER, 1737 N LOOP W, HOUSTON TX, 77008"
"675754, TRAYMORE NURSING CENTER, 4315 HOPKINS AVE, DALLAS TX, 75209"
"675764, SPRING BRANCH TRANSITIONAL CARE CENTER, 1615 HILLENDAHL RD, HOUSTON TX, 77055"
"675765, WALNUT PLACE, 5515 GLEN LAKES DR, DALLAS TX, 75231"
"675788, OAK MANOR NURSING AND REHABILITATION LP, 2901 STERLING HART DR, COMMERCE TX, 75428"
"675815, KINGSVILLE NURSING AND REHABILITATION CENTER, 3130 S BRAHMA BLVD, KINGSVILLE TX, 78363"
"675756, WILLIAMSBURG VILLAGE HEALTHCARE CAMPUS, 941 SCOTLAND DR, DESOTO TX, 75115"
"675802, KEMP CARE CENTER, 1351 SOUTH ELM STREET, KEMP TX, 75143"
"675815, KINGSVILLE NURSING AND REHABILITATION CENTER, 3130 S BRAHMA BLVD, KINGSVILLE TX, 78363"
"675766, THE COURTYARD REHABILITATION AND HEALTHCARE CENTER, 3401 E AIRLINE DR, VICTORIA TX, 77901"
"675792, MANSFIELD NURSING AND REHABILITATION LP, 1402 E BROAD ST, MANSFIELD TX, 76063"
"675755, WINDSOR PLACE, 507 E W M WATSON BLVD, DAINGERFIELD TX, 75638"
"675812, WHISPERING PINES NURSING AND REHAB, 910 S BEECH ST, WINNSBORO TX, 75494"
"675777, PARKWAY PLACE, 1321 PARK BAYOU DR, HOUSTON TX, 77077"
"675817, FT WORTH SOUTHWEST NURSING CENTER, 5300 ALTA MESA BLVD, FORT WORTH TX, 76133"
"675818, PARK MANOR OF CYFAIR, 11001 CRESCENT MOON DR, HOUSTON TX, 77064"
"675764, SPRING BRANCH TRANSITIONAL CARE CENTER, 1615 HILLENDAHL RD, HOUSTON TX, 77055"
"675811, VICTORIA GARDENS OF FRISCO, 10700 ROLATER DR, FRISCO TX, 75035"
"675802, KEMP CARE CENTER, 1351 SOUTH ELM STREET, KEMP TX, 75143"
"675795, THE CHANDLER ESTATE IN LAUREL HEIGHTS, 1502 HOWARD ST, SAN ANTONIO TX, 78212"
"675815, KINGSVILLE NURSING AND REHABILITATION CENTER, 3130 S BRAHMA BLVD, KINGSVILLE TX, 78363"
"675774, LEGEND HEALTHCARE AND REHABILITATION - GREENVILLE, 2300 JACK FINNEY BLVD, GREENVILLE TX, 75402"
"675810, LANCASTER NURSING & REHABILITATION CENTER, 1515 N ELM ST, LANCASTER TX, 75134"
"675754, TRAYMORE NURSING CENTER, 4315 HOPKINS AVE, DALLAS TX, 75209"
"675823, NORMANDY TERRACE NURSING & REHABILITATION CENTER, 841 RICE RD, SAN ANTONIO TX, 78220"
"675815, KINGSVILLE NURSING AND REHABILITATION CENTER, 3130 S BRAHMA BLVD, KINGSVILLE TX, 78363"
"675820, THE LENNWOOD NURSING AND REHABILITATION, 8017 W VIRGINIA DR, DALLAS TX, 75237"
"675766, THE COURTYARD REHABILITATION AND HEALTHCARE CENTER, 3401 E AIRLINE DR, VICTORIA TX, 77901"
"675797, SENIOR CARE OF WESTON INN, 2505 S 37TH ST, TEMPLE TX, 76504"
"675820, THE LENNWOOD NURSING AND REHABILITATION, 8017 W VIRGINIA DR, DALLAS TX, 75237"
"675823, NORMANDY TERRACE NURSING & REHABILITATION CENTER, 841 RICE RD, SAN ANTONIO TX, 78220"
"675800, LA VIDA SERENA NURSING AND REHABILITATION, 711 KINGS WAY, DEL RIO TX, 78840"
"675796, MERIDIAN CARE OF HEBBRONVILLE, 606 W GRUY, HEBBRONVILLE TX, 78361"
"675802, KEMP CARE CENTER, 1351 SOUTH ELM STREET, KEMP TX, 75143"
"675820, THE LENNWOOD NURSING AND REHABILITATION, 8017 W VIRGINIA DR, DALLAS TX, 75237"
"675811, VICTORIA GARDENS OF FRISCO, 10700 ROLATER DR, FRISCO TX, 75035"
"675792, MANSFIELD NURSING AND REHABILITATION LP, 1402 E BROAD ST, MANSFIELD TX, 76063"
"675757, SIGNATURE POINTE ON THE LAKE HEALTHCARE COMMUNITY, 14655 PRESTON RD, DALLAS TX, 75254"
"675802, KEMP CARE CENTER, 1351 SOUTH ELM STREET, KEMP TX, 75143"
"675779, MARINE CREEK NURSING AND REHABILITATION LP, 3600 ANGLE AVE, FORT WORTH TX, 76106"
"675820, THE LENNWOOD NURSING AND REHABILITATION, 8017 W VIRGINIA DR, DALLAS TX, 75237"
"675773, HOLMGREEN CENTER, 317 N CARANCAHUA, CORPUS CHRISTI TX, 78401"
"675783, THE VILLA AT MOUNTAIN VIEW, 2918 DUNCANVILLE RD, DALLAS TX, 75211"
"675793, BROOKHOLLOW HEIGHTS TRANSITIONAL CARE CENTER, 1737 N LOOP W, HOUSTON TX, 77008"
"675786, AFV II HEALTH CARE CENTER, 5100 JOHN D RYAN BLVD, SAN ANTONIO TX, 78245"
"675754, TRAYMORE NURSING CENTER, 4315 HOPKINS AVE, DALLAS TX, 75209"
"675765, WALNUT PLACE, 5515 GLEN LAKES DR, DALLAS TX, 75231"
"675759, SENIOR CARE OF STONEGATE, 4201 STONEGATE BLVD, FORT WORTH TX, 76109"
"675788, OAK MANOR NURSING AND REHABILITATION LP, 2901 STERLING HART DR, COMMERCE TX, 75428"
"675783, THE VILLA AT MOUNTAIN VIEW, 2918 DUNCANVILLE RD, DALLAS TX, 75211"
"675799, BRENHAM NURSING AND REHABILITATION CENTER, 400 E SAYLES ST, BRENHAM TX, 77833"
"675791, BRIARWOOD NURSING & REHABILITATION, 7633 BELLFORT, HOUSTON TX, 77061"
"675802, KEMP CARE CENTER, 1351 SOUTH ELM STREET, KEMP TX, 75143"
"675756, WILLIAMSBURG VILLAGE HEALTHCARE CAMPUS, 941 SCOTLAND DR, DESOTO TX, 75115"
"675801, GILMER NURSING AND REHABILITATION LP, 703 TITUS STREET, GILMER TX, 75644"
"675777, PARKWAY PLACE, 1321 PARK BAYOU DR, HOUSTON TX, 77077"
"675774, LEGEND HEALTHCARE AND REHABILITATION - GREENVILLE, 2300 JACK FINNEY BLVD, GREENVILLE TX, 75402"
"675790, GARLAND NURSING AND REHABILITATION LP, 321 N SHILOH RD, GARLAND TX, 75042"
"675815, KINGSVILLE NURSING AND REHABILITATION CENTER, 3130 S BRAHMA BLVD, KINGSVILLE TX, 78363"
"675766, THE COURTYARD REHABILITATION AND HEALTHCARE CENTER, 3401 E AIRLINE DR, VICTORIA TX, 77901"
"675797, SENIOR CARE OF WESTON INN, 2505 S 37TH ST, TEMPLE TX, 76504"
"675785, EDINBURG NURSING AND REHABILITATION CENTER, 5215 S SUGAR RD, EDINBURG TX, 78539"
"675785, EDINBURG NURSING AND REHABILITATION CENTER, 5215 S SUGAR RD, EDINBURG TX, 78539"
"675755, WINDSOR PLACE, 507 E W M WATSON BLVD, DAINGERFIELD TX, 75638"
"675755, WINDSOR PLACE, 507 E W M WATSON BLVD, DAINGERFIELD TX, 75638"
"675806, THE LAURENWOOD NURSING AND REHABILITATION, 330 W CAMP WISDOM RD, DUNCANVILLE TX, 75116"
"675765, WALNUT PLACE, 5515 GLEN LAKES DR, DALLAS TX, 75231"
"675814, KILGORE HEALTH & REHABILITATION, 2700 S HENDERSON BLVD, KILGORE TX, 75662"
"675820, THE LENNWOOD NURSING AND REHABILITATION, 8017 W VIRGINIA DR, DALLAS TX, 75237"
"675892, GULF POINTE PLAZA, 1008 ENTERPRISE BLVD, ROCKPORT TX, 78382"
"675792, MANSFIELD NURSING AND REHABILITATION LP, 1402 E BROAD ST, MANSFIELD TX, 76063"
"675826, SUNSET HOME, 1800 WEST 9TH ST, CLIFTON TX, 76634"
"675769, STAMFORD RESIDENCE AND REHABILITATION CENTER, 1003 COLUMBIA, STAMFORD TX, 79553"
"675790, GARLAND NURSING AND REHABILITATION LP, 321 N SHILOH RD, GARLAND TX, 75042"
"675792, MANSFIELD NURSING AND REHABILITATION LP, 1402 E BROAD ST, MANSFIELD TX, 76063"
"675774, LEGEND HEALTHCARE AND REHABILITATION - GREENVILLE, 2300 JACK FINNEY BLVD, GREENVILLE TX, 75402"
"675765, WALNUT PLACE, 5515 GLEN LAKES DR, DALLAS TX, 75231"
"675823, NORMANDY TERRACE NURSING & REHABILITATION CENTER, 841 RICE RD, SAN ANTONIO TX, 78220"
"675811, VICTORIA GARDENS OF FRISCO, 10700 ROLATER DR, FRISCO TX, 75035"
"675815, KINGSVILLE NURSING AND REHABILITATION CENTER, 3130 S BRAHMA BLVD, KINGSVILLE TX, 78363"
"675792, MANSFIELD NURSING AND REHABILITATION LP, 1402 E BROAD ST, MANSFIELD TX, 76063"
"675788, OAK MANOR NURSING AND REHABILITATION LP, 2901 STERLING HART DR, COMMERCE TX, 75428"
"675768, MOUNTAIN VILLA NURSING CENTER, 2729 PORTER AVE, EL PASO TX, 79930"
"675791, BRIARWOOD NURSING & REHABILITATION, 7633 BELLFORT, HOUSTON TX, 77061"
"675792, MANSFIELD NURSING AND REHABILITATION LP, 1402 E BROAD ST, MANSFIELD TX, 76063"
"675826, SUNSET HOME, 1800 WEST 9TH ST, CLIFTON TX, 76634"
"675779, MARINE CREEK NURSING AND REHABILITATION LP, 3600 ANGLE AVE, FORT WORTH TX, 76106"
"675757, SIGNATURE POINTE ON THE LAKE HEALTHCARE COMMUNITY, 14655 PRESTON RD, DALLAS TX, 75254"
"675765, WALNUT PLACE, 5515 GLEN LAKES DR, DALLAS TX, 75231"
"675756, WILLIAMSBURG VILLAGE HEALTHCARE CAMPUS, 941 SCOTLAND DR, DESOTO TX, 75115"
"675785, EDINBURG NURSING AND REHABILITATION CENTER, 5215 S SUGAR RD, EDINBURG TX, 78539"
"675793, BROOKHOLLOW HEIGHTS TRANSITIONAL CARE CENTER, 1737 N LOOP W, HOUSTON TX, 77008"
"675782, VALLEY VIEW CARE CENTER, 101 LIBERTY LN, ANSON TX, 79501"
"675768, MOUNTAIN VILLA NURSING CENTER, 2729 PORTER AVE, EL PASO TX, 79930"
"675766, THE COURTYARD REHABILITATION AND HEALTHCARE CENTER, 3401 E AIRLINE DR, VICTORIA TX, 77901"
"675815, KINGSVILLE NURSING AND REHABILITATION CENTER, 3130 S BRAHMA BLVD, KINGSVILLE TX, 78363"
"675754, TRAYMORE NURSING CENTER, 4315 HOPKINS AVE, DALLAS TX, 75209"
"675818, PARK MANOR OF CYFAIR, 11001 CRESCENT MOON DR, HOUSTON TX, 77064"
